Time,Host_0,Host_1,Host_2,Host_3,Host_4,Host_5,Host_6,Host_7,Host_8,Host_9,Host_10,Host_11,Host_12,Host_13,Host_14,Host_15
430,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
440,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
450,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
460,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
470,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
480,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
490,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
500,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
510,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
520,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
530,222.0521875,238.9834375,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
540,222.0521875,236.685625,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
550,222.0521875,234.3878125,229.07687499999997,229.72749999999996,206.055625,217.834375,177.743125,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0
