Time(s),Energy_Wh
398,336.3710
399,337.1937
400,338.0164
401,338.8392
402,339.6619
403,340.4846
404,341.3073
405,342.1300
406,342.9528
407,343.7755
408,344.5982
409,345.4209
410,346.2427
411,347.0644
412,347.8858
413,348.7072
414,349.5281
415,350.3490
416,351.1699
417,351.9908
418,352.8117
419,353.6326
420,354.4535
421,355.2726
422,356.0909
423,356.9092
424,357.7275
425,358.5459
426,359.3642
427,360.1825
428,361.0008
429,361.8176
430,362.6344
431,363.4507
432,364.2670
433,365.0833
434,365.8996
435,366.7159
436,367.5305
437,368.3451
438,369.1596
439,369.9742
440,370.7888
441,371.6033
442,372.4179
443,373.2325
444,374.0470
445,374.8616
446,375.6762
447,376.4907
448,377.3053
449,378.1199
450,378.9344
451,379.7490
452,380.5636
453,381.3781
454,382.1927
455,383.0073
456,383.8218
457,384.6364
458,385.4510
459,386.2655
460,387.0789
461,387.8922
462,388.7042
463,389.5162
464,390.3282
465,391.1396
466,391.9509
467,392.7623
468,393.5736
469,394.3838
470,395.1939
471,396.0041
472,396.8134
473,397.6227
474,398.4315
475,399.2402
476,400.0490
477,400.8564
478,401.6638
479,402.4712
480,403.2786
481,404.0860
482,404.8935
483,405.6999
484,406.5063
485,407.3127
486,408.1186
487,408.9240
488,409.7294
489,410.5348
490,411.3397
491,412.1445
492,412.9493
493,413.7539
494,414.5577
495,415.3616
496,416.1655
497,416.9694
498,417.7732
499,418.5771
500,419.3810
501,420.1849
502,420.9887
503,421.7926
504,422.5962
505,423.3997
506,424.2032
507,425.0063
508,425.8083
509,426.6103
510,427.4123
511,428.2143
512,429.0163
513,429.8183
514,430.6204
515,431.4224
516,432.2244
517,433.0257
518,433.8270
519,434.6283
520,435.4296
521,436.2309
522,437.0322
523,437.8329
524,438.6332
525,439.4335
526,440.2339
527,441.0342
528,441.8345
529,442.6348
530,443.4351
531,444.2354
532,445.0358
533,445.8361
534,446.6357
535,447.4353
536,448.2349
537,449.0345
538,449.8341
539,450.6337
540,451.4333
541,452.2329
542,453.0325
543,453.8322
544,454.6318
545,455.4314
546,456.2310
547,457.0306
548,457.8302
549,458.6298
550,459.4294
551,460.2290
552,461.0286
553,461.8282
554,462.6278
555,463.4274
556,464.2267
557,465.0259
558,465.8251
559,466.6243
560,467.4235
561,468.2227
562,469.0220
563,469.8200
564,470.6181
565,471.4161
566,472.2142
567,473.0122
568,473.8090
569,474.6057
570,475.4024
571,476.1984
572,476.9943
573,477.7903
574,478.5862
575,479.3818
576,480.1773
577,480.9729
578,481.7681
579,482.5633
580,483.3585
581,484.1537
582,484.9485
583,485.7433
584,486.5381
585,487.3315
586,488.1250
587,488.9185
588,489.7120
589,490.5046
590,491.2973
591,492.0899
592,492.8826
593,493.6744
594,494.4663
595,495.2582
596,496.0500
597,496.8419
598,497.6338
599,498.4257
600,499.2175
601,500.0094
602,500.8013
603,501.5931
604,502.3850
605,503.1769
606,503.9687
607,504.7598
608,505.5509
609,506.3420
610,507.1331
611,507.9242
612,508.7153
613,509.5057
614,510.2960
615,511.0864
616,511.8767
617,512.6671
618,513.4564
619,514.2457
620,515.0350
621,515.8244
622,516.6137
623,517.4021
624,518.1905
625,518.9789
626,519.7673
627,520.5557
628,521.3434
629,522.1311
630,522.9188
631,523.7065
632,524.4942
633,525.2819
634,526.0689
635,526.8560
636,527.6430
637,528.4301
638,529.2171
639,530.0042
640,530.7902
641,531.5763
642,532.3624
643,533.1485
644,533.9346
645,534.7207
646,535.5067
647,536.2922
648,537.0776
649,537.8630
650,538.6485
651,539.4339
652,540.2193
653,541.0048
654,541.7902
655,542.5756
656,543.3611
657,544.1465
658,544.9319
659,545.7174
660,546.5028
661,547.2882
662,548.0737
663,548.8591
664,549.6445
665,550.4300
666,551.2154
667,552.0008
668,552.7863
669,553.5717
670,554.3571
671,555.1426
672,555.9280
673,556.7134
674,557.4989
675,558.2843
676,559.0697
677,559.8552
678,560.6406
679,561.4260
680,562.2115
681,562.9969
682,563.7823
683,564.5678
684,565.3529
685,566.1380
686,566.9223
687,567.7067
688,568.4910
689,569.2746
690,570.0582
691,570.8417
692,571.6253
693,572.4085
694,573.1918
695,573.9750
696,574.7582
697,575.5410
698,576.3238
699,577.1066
700,577.8894
701,578.6714
702,579.4535
703,580.2355
704,581.0176
705,581.7996
706,582.5817
707,583.3637
708,584.1458
709,584.9278
710,585.7099
711,586.4919
712,587.2740
713,588.0560
714,588.8381
715,589.6201
716,590.4022
717,591.1842
718,591.9662
719,592.7483
720,593.5303
721,594.3124
722,595.0944
723,595.8760
724,596.6576
725,597.4392
726,598.2208
727,599.0024
728,599.7840
729,600.5656
730,601.3472
731,602.1288
732,602.9104
733,603.6920
734,604.4736
735,605.2552
736,606.0368
737,606.8184
738,607.5995
739,608.3807
740,609.1618
741,609.9430
742,610.7241
743,611.5053
744,612.2864
745,613.0676
746,613.8488
747,614.6299
748,615.4111
749,616.1922
750,616.9734
751,617.7545
752,618.5357
753,619.3162
754,620.0967
755,620.8772
756,621.6577
757,622.4383
758,623.2188
759,623.9993
760,624.7798
761,625.5603
762,626.3408
763,627.1213
764,627.9019
765,628.6824
766,629.4629
767,630.2434
768,631.0239
769,631.8044
770,632.5845
771,633.3645
772,634.1446
773,634.9246
774,635.7047
775,636.4847
776,637.2642
777,638.0438
778,638.8233
779,639.6028
780,640.3820
781,641.1612
782,641.9404
783,642.7196
784,643.4988
785,644.2780
786,645.0572
787,645.8360
788,646.6149
789,647.3937
790,648.1725
791,648.9513
792,649.7301
793,650.5089
794,651.2877
795,652.0666
796,652.8454
797,653.6242
798,654.4030
799,655.1818
800,655.9602
801,656.7387
802,657.5171
803,658.2955
804,659.0739
805,659.8520
806,660.6301
807,661.4081
808,662.1862
809,662.9643
810,663.7423
811,664.5204
812,665.2985
813,666.0766
814,666.8546
815,667.6327
816,668.4108
817,669.1888
818,669.9669
819,670.7447
