Time(s),Energy_Wh
398,337.8947
399,338.7198
400,339.5446
401,340.3695
402,341.1943
403,342.0191
404,342.8433
405,343.6676
406,344.4918
407,345.3154
408,346.1389
409,346.9625
410,347.7860
411,348.6089
412,349.4310
413,350.2530
414,351.0751
415,351.8972
416,352.7176
417,353.5379
418,354.3583
419,355.1787
420,355.9991
421,356.8194
422,357.6398
423,358.4602
424,359.2805
425,360.1009
426,360.9213
427,361.7410
428,362.5592
429,363.3775
430,364.1958
431,365.0140
432,365.8306
433,366.6472
434,367.4625
435,368.2779
436,369.0932
437,369.9085
438,370.7239
439,371.5384
440,372.3528
441,373.1673
442,373.9818
443,374.7958
444,375.6098
445,376.4239
446,377.2379
447,378.0515
448,378.8651
449,379.6781
450,380.4911
451,381.3034
452,382.1156
453,382.9279
454,383.7401
455,384.5524
456,385.3646
457,386.1769
458,386.9891
459,387.8014
460,388.6136
461,389.4227
462,390.2318
463,391.0409
464,391.8499
465,392.6590
466,393.4676
467,394.2762
468,395.0848
469,395.8934
470,396.7020
471,397.5092
472,398.3155
473,399.1218
474,399.9282
475,400.7345
476,401.5408
477,402.3471
478,403.1534
479,403.9597
480,404.7660
481,405.5720
482,406.3779
483,407.1839
484,407.9898
485,408.7958
486,409.6017
487,410.4077
488,411.2133
489,412.0189
490,412.8246
491,413.6302
492,414.4358
493,415.2415
494,416.0471
495,416.8527
496,417.6577
497,418.4627
498,419.2677
499,420.0727
500,420.8777
501,421.6827
502,422.4877
503,423.2914
504,424.0951
505,424.8987
506,425.7024
507,426.5060
508,427.3097
509,428.1134
510,428.9159
511,429.7183
512,430.5208
513,431.3233
514,432.1258
515,432.9283
516,433.7307
517,434.5318
518,435.3329
519,436.1340
520,436.9350
521,437.7353
522,438.5356
523,439.3359
524,440.1361
525,440.9364
526,441.7362
527,442.5360
528,443.3359
529,444.1357
530,444.9355
531,445.7353
532,446.5351
533,447.3349
534,448.1347
535,448.9346
536,449.7344
537,450.5342
538,451.3336
539,452.1330
540,452.9324
541,453.7314
542,454.5304
543,455.3293
544,456.1283
545,456.9272
546,457.7262
547,458.5252
548,459.3241
549,460.1231
550,460.9221
551,461.7210
552,462.5200
553,463.3189
554,464.1174
555,464.9159
556,465.7137
557,466.5114
558,467.3092
559,468.1065
560,468.9038
561,469.7011
562,470.4984
563,471.2957
564,472.0929
565,472.8902
566,473.6868
567,474.4833
568,475.2794
569,476.0754
570,476.8715
571,477.6676
572,478.4636
573,479.2597
574,480.0558
575,480.8518
576,481.6479
577,482.4440
578,483.2401
579,484.0361
580,484.8322
581,485.6283
582,486.4243
583,487.2204
584,488.0165
585,488.8125
586,489.6086
587,490.4047
588,491.2000
589,491.9950
590,492.7901
591,493.5851
592,494.3801
593,495.1747
594,495.9694
595,496.7640
596,497.5586
597,498.3528
598,499.1471
599,499.9413
600,500.7355
601,501.5297
602,502.3240
603,503.1182
604,503.9114
605,504.7045
606,505.4965
607,506.2884
608,507.0804
609,507.8716
610,508.6628
611,509.4539
612,510.2451
613,511.0363
614,511.8274
615,512.6186
616,513.4098
617,514.2010
618,514.9921
619,515.7833
620,516.5745
621,517.3657
622,518.1568
623,518.9480
624,519.7392
625,520.5303
626,521.3202
627,522.1100
628,522.8998
629,523.6896
630,524.4794
631,525.2692
632,526.0590
633,526.8488
634,527.6386
635,528.4279
636,529.2171
637,530.0063
638,530.7955
639,531.5847
640,532.3739
641,533.1631
642,533.9523
643,534.7415
644,535.5307
645,536.3199
646,537.1092
647,537.8984
648,538.6876
649,539.4768
650,540.2660
651,541.0552
652,541.8444
653,542.6336
654,543.4228
655,544.2117
656,545.0005
657,545.7893
658,546.5782
659,547.3670
660,548.1559
661,548.9447
662,549.7336
663,550.5217
664,551.3098
665,552.0979
666,552.8853
667,553.6726
668,554.4600
669,555.2474
670,556.0348
671,556.8221
672,557.6095
673,558.3966
674,559.1836
675,559.9706
676,560.7577
677,561.5447
678,562.3317
679,563.1188
680,563.9058
681,564.6928
682,565.4799
683,566.2669
684,567.0540
685,567.8410
686,568.6280
687,569.4151
688,570.2021
689,570.9891
690,571.7762
691,572.5632
692,573.3502
693,574.1373
694,574.9243
695,575.7113
696,576.4984
697,577.2854
698,578.0725
699,578.8595
700,579.6465
701,580.4336
702,581.2203
703,582.0069
704,582.7929
705,583.5788
706,584.3647
707,585.1506
708,585.9359
709,586.7211
710,587.5064
711,588.2916
712,589.0769
713,589.8615
714,590.6461
715,591.4307
716,592.2153
717,593.0000
718,593.7839
719,594.5678
720,595.3517
721,596.1356
722,596.9195
723,597.7034
724,598.4873
725,599.2704
726,600.0536
727,600.8368
728,601.6200
729,602.4032
730,603.1864
731,603.9696
732,604.7528
733,605.5353
734,606.3177
735,607.1002
736,607.8827
737,608.6652
738,609.4477
739,610.2302
740,611.0127
741,611.7952
742,612.5777
743,613.3602
744,614.1427
745,614.9252
746,615.7076
747,616.4901
748,617.2721
749,618.0534
750,618.8346
751,619.6159
752,620.3972
753,621.1785
754,621.9597
755,622.7410
756,623.5223
757,624.3030
758,625.0836
759,625.8643
760,626.6450
761,627.4256
762,628.2063
763,628.9870
764,629.7677
765,630.5483
766,631.3290
767,632.1090
768,632.8890
769,633.6690
770,634.4490
771,635.2290
772,636.0083
773,636.7877
774,637.5671
775,638.3464
776,639.1258
777,639.9051
778,640.6845
779,641.4639
780,642.2432
781,643.0226
782,643.8019
783,644.5813
784,645.3607
785,646.1400
786,646.9194
787,647.6987
788,648.4781
789,649.2574
790,650.0368
791,650.8162
792,651.5955
793,652.3749
794,653.1542
795,653.9336
796,654.7126
797,655.4916
798,656.2706
799,657.0497
800,657.8287
801,658.6074
802,659.3861
803,660.1648
804,660.9435
805,661.7219
806,662.5003
807,663.2788
808,664.0572
809,664.8356
810,665.6140
811,666.3924
812,667.1708
813,667.9493
814,668.7277
815,669.5061
816,670.2845
817,671.0629
818,671.8410
819,672.6191
820,673.3972
821,674.1753
822,674.9534
823,675.7315
824,676.5097
825,677.2878
826,678.0659
827,678.8440
828,679.6217
